Successfully loaded labels from /home/yonis/histogenomics-msc-2019/yoni-code/MsiPrediction/metadata/tcga/brca_dx/data_tcga_brca_dxwith_ddr_labels_and_splits.csv, it has 4026308 files.
We use a train split of fold 1 of 2200481 files.
Successfully loaded labels from /home/yonis/histogenomics-msc-2019/yoni-code/MsiPrediction/metadata/tcga/brca_dx/data_tcga_brca_dxwith_ddr_labels_and_splits.csv, it has 4026308 files.
We use a val split of fold 1 of 490680 files.
Successfully loaded labels from /home/yonis/histogenomics-msc-2019/yoni-code/MsiPrediction/metadata/tcga/brca_dx/data_tcga_brca_dxwith_ddr_labels_and_splits.csv, it has 4026308 files.
We use a test split of fold 1 of 947582 files.
[2020-09-11 12:53:36.720394 | Step 0 / 17192]
[2020-09-11 12:53:39.728500 | Step 1 / 17192]
[2020-09-11 12:53:43.251446 | Step 2 / 17192]
[2020-09-11 12:53:47.383875 | Step 3 / 17192]
[2020-09-11 12:53:50.991750 | Step 4 / 17192]
[2020-09-11 12:53:54.830479 | Step 5 / 17192]
[2020-09-11 12:54:15.511680 | Step 6 / 17192]
[2020-09-11 12:54:18.827721 | Step 7 / 17192]
[2020-09-11 12:54:22.818253 | Step 8 / 17192]
[2020-09-11 12:54:26.582101 | Step 9 / 17192]
[2020-09-11 12:54:30.142550 | Step 10 / 17192]
[2020-09-11 12:54:34.326477 | Step 11 / 17192]
[2020-09-11 12:54:54.327789 | Step 12 / 17192]
[2020-09-11 12:54:57.617995 | Step 13 / 17192]
[2020-09-11 12:55:01.525134 | Step 14 / 17192]
[2020-09-11 12:55:04.951765 | Step 15 / 17192]
[2020-09-11 12:55:08.542771 | Step 16 / 17192]
[2020-09-11 12:55:12.312891 | Step 17 / 17192]
[2020-09-11 12:55:34.229612 | Step 18 / 17192]
[2020-09-11 12:55:37.620337 | Step 19 / 17192]
[2020-09-11 12:55:41.170383 | Step 20 / 17192]
[2020-09-11 12:55:44.885990 | Step 21 / 17192]
[2020-09-11 12:55:48.674013 | Step 22 / 17192]
[2020-09-11 12:55:52.283165 | Step 23 / 17192]
[2020-09-11 12:56:13.016933 | Step 24 / 17192]
[2020-09-11 12:56:16.347905 | Step 25 / 17192]
[2020-09-11 12:56:19.982577 | Step 26 / 17192]
[2020-09-11 12:56:23.781289 | Step 27 / 17192]
[2020-09-11 12:56:27.451463 | Step 28 / 17192]
[2020-09-11 12:56:31.141296 | Step 29 / 17192]
[2020-09-11 12:56:51.261364 | Step 30 / 17192]
[2020-09-11 12:56:54.389375 | Step 31 / 17192]
[2020-09-11 12:56:57.656222 | Step 32 / 17192]
[2020-09-11 12:57:01.211963 | Step 33 / 17192]
[2020-09-11 12:57:04.830455 | Step 34 / 17192]
[2020-09-11 12:57:08.069674 | Step 35 / 17192]
[2020-09-11 12:57:28.839276 | Step 36 / 17192]
[2020-09-11 12:57:31.853749 | Step 37 / 17192]
[2020-09-11 12:57:35.251072 | Step 38 / 17192]
[2020-09-11 12:57:38.876038 | Step 39 / 17192]
[2020-09-11 12:57:42.248097 | Step 40 / 17192]
[2020-09-11 12:57:45.690954 | Step 41 / 17192]
[2020-09-11 12:58:06.964384 | Step 42 / 17192]
[2020-09-11 12:58:10.131549 | Step 43 / 17192]
[2020-09-11 12:58:13.513589 | Step 44 / 17192]
[2020-09-11 12:58:16.850638 | Step 45 / 17192]
[2020-09-11 12:58:20.220383 | Step 46 / 17192]
[2020-09-11 12:58:23.670043 | Step 47 / 17192]
[2020-09-11 12:58:45.172873 | Step 48 / 17192]
[2020-09-11 12:58:48.668119 | Step 49 / 17192]
[2020-09-11 12:58:52.249798 | Step 50 / 17192]
[2020-09-11 12:58:55.770208 | Step 51 / 17192]
[2020-09-11 12:58:59.378886 | Step 52 / 17192]
[2020-09-11 12:59:02.752795 | Step 53 / 17192]
[2020-09-11 12:59:23.739849 | Step 54 / 17192]
[2020-09-11 12:59:27.136267 | Step 55 / 17192]
[2020-09-11 12:59:30.594760 | Step 56 / 17192]
[2020-09-11 12:59:34.316175 | Step 57 / 17192]
[2020-09-11 12:59:37.850089 | Step 58 / 17192]
[2020-09-11 12:59:41.364064 | Step 59 / 17192]
[2020-09-11 13:00:03.500860 | Step 60 / 17192]
[2020-09-11 13:00:07.008860 | Step 61 / 17192]
[2020-09-11 13:00:10.567363 | Step 62 / 17192]
[2020-09-11 13:00:13.995652 | Step 63 / 17192]
[2020-09-11 13:00:17.543246 | Step 64 / 17192]
[2020-09-11 13:00:21.303751 | Step 65 / 17192]
[2020-09-11 13:00:43.927219 | Step 66 / 17192]
[2020-09-11 13:00:47.264425 | Step 67 / 17192]
[2020-09-11 13:00:50.687532 | Step 68 / 17192]
[2020-09-11 13:00:54.150978 | Step 69 / 17192]
[2020-09-11 13:00:57.656605 | Step 70 / 17192]
[2020-09-11 13:01:01.086807 | Step 71 / 17192]
[2020-09-11 13:01:21.055719 | Step 72 / 17192]
[2020-09-11 13:01:25.149372 | Step 73 / 17192]
[2020-09-11 13:01:28.776902 | Step 74 / 17192]
[2020-09-11 13:01:32.240479 | Step 75 / 17192]
[2020-09-11 13:01:35.768115 | Step 76 / 17192]
[2020-09-11 13:01:39.513686 | Step 77 / 17192]
[2020-09-11 13:01:58.681103 | Step 78 / 17192]
[2020-09-11 13:02:02.195492 | Step 79 / 17192]
[2020-09-11 13:02:05.655304 | Step 80 / 17192]
[2020-09-11 13:02:09.195755 | Step 81 / 17192]
[2020-09-11 13:02:12.773323 | Step 82 / 17192]
[2020-09-11 13:02:16.366319 | Step 83 / 17192]
[2020-09-11 13:02:38.083956 | Step 84 / 17192]
[2020-09-11 13:02:41.450523 | Step 85 / 17192]
[2020-09-11 13:02:44.945164 | Step 86 / 17192]
[2020-09-11 13:02:48.552386 | Step 87 / 17192]
[2020-09-11 13:02:52.333022 | Step 88 / 17192]
[2020-09-11 13:02:56.076590 | Step 89 / 17192]
[2020-09-11 13:03:18.403078 | Step 90 / 17192]
[2020-09-11 13:03:21.906501 | Step 91 / 17192]
[2020-09-11 13:03:25.561475 | Step 92 / 17192]
[2020-09-11 13:03:29.209234 | Step 93 / 17192]
[2020-09-11 13:03:33.013140 | Step 94 / 17192]
[2020-09-11 13:03:36.778759 | Step 95 / 17192]
[2020-09-11 13:03:59.114540 | Step 96 / 17192]
[2020-09-11 13:04:02.772870 | Step 97 / 17192]
[2020-09-11 13:04:06.358747 | Step 98 / 17192]
[2020-09-11 13:04:10.109033 | Step 99 / 17192]
[2020-09-11 13:04:13.717069 | Step 100 / 17192]
[2020-09-11 13:04:17.518972 | Step 101 / 17192]
[2020-09-11 13:04:38.481325 | Step 102 / 17192]
[2020-09-11 13:04:41.779062 | Step 103 / 17192]
[2020-09-11 13:04:45.570365 | Step 104 / 17192]
[2020-09-11 13:04:49.029251 | Step 105 / 17192]
[2020-09-11 13:04:52.904341 | Step 106 / 17192]
[2020-09-11 13:04:56.285145 | Step 107 / 17192]
[2020-09-11 13:05:17.185351 | Step 108 / 17192]
[2020-09-11 13:05:20.864993 | Step 109 / 17192]
[2020-09-11 13:05:24.926116 | Step 110 / 17192]
[2020-09-11 13:05:28.539965 | Step 111 / 17192]
[2020-09-11 13:05:32.709652 | Step 112 / 17192]
[2020-09-11 13:05:36.291971 | Step 113 / 17192]
[2020-09-11 13:05:57.911754 | Step 114 / 17192]
[2020-09-11 13:06:01.415364 | Step 115 / 17192]
[2020-09-11 13:06:05.263350 | Step 116 / 17192]
[2020-09-11 13:06:08.861758 | Step 117 / 17192]
[2020-09-11 13:06:12.409908 | Step 118 / 17192]
[2020-09-11 13:06:16.152543 | Step 119 / 17192]
[2020-09-11 13:06:34.559632 | Step 120 / 17192]
[2020-09-11 13:06:37.676891 | Step 121 / 17192]
[2020-09-11 13:06:43.328278 | Step 122 / 17192]
[2020-09-11 13:06:46.882464 | Step 123 / 17192]
[2020-09-11 13:06:50.394608 | Step 124 / 17192]
[2020-09-11 13:06:54.062146 | Step 125 / 17192]
[2020-09-11 13:07:13.752696 | Step 126 / 17192]
[2020-09-11 13:07:17.145372 | Step 127 / 17192]
[2020-09-11 13:07:23.247818 | Step 128 / 17192]
[2020-09-11 13:07:27.267361 | Step 129 / 17192]
[2020-09-11 13:07:30.843952 | Step 130 / 17192]
[2020-09-11 13:07:34.553494 | Step 131 / 17192]
[2020-09-11 13:07:53.286236 | Step 132 / 17192]
[2020-09-11 13:07:56.829853 | Step 133 / 17192]
[2020-09-11 13:08:02.390872 | Step 134 / 17192]
[2020-09-11 13:08:05.909784 | Step 135 / 17192]
[2020-09-11 13:08:09.641786 | Step 136 / 17192]
[2020-09-11 13:08:14.515443 | Step 137 / 17192]
[2020-09-11 13:08:33.629250 | Step 138 / 17192]
[2020-09-11 13:08:37.145146 | Step 139 / 17192]
[2020-09-11 13:08:43.348944 | Step 140 / 17192]
[2020-09-11 13:08:46.949566 | Step 141 / 17192]
[2020-09-11 13:08:50.704584 | Step 142 / 17192]
[2020-09-11 13:08:54.652156 | Step 143 / 17192]
[2020-09-11 13:09:13.898398 | Step 144 / 17192]
[2020-09-11 13:09:17.573613 | Step 145 / 17192]
[2020-09-11 13:09:23.195238 | Step 146 / 17192]
[2020-09-11 13:09:26.957070 | Step 147 / 17192]
[2020-09-11 13:09:30.487422 | Step 148 / 17192]
[2020-09-11 13:09:33.862909 | Step 149 / 17192]
[2020-09-11 13:09:51.442504 | Step 150 / 17192]
[2020-09-11 13:09:55.093954 | Step 151 / 17192]
[2020-09-11 13:09:59.437616 | Step 152 / 17192]
[2020-09-11 13:10:02.759963 | Step 153 / 17192]
[2020-09-11 13:10:06.910872 | Step 154 / 17192]
[2020-09-11 13:10:10.402160 | Step 155 / 17192]
[2020-09-11 13:10:29.359711 | Step 156 / 17192]
[2020-09-11 13:10:34.028994 | Step 157 / 17192]
[2020-09-11 13:10:37.992763 | Step 158 / 17192]
[2020-09-11 13:10:41.403682 | Step 159 / 17192]
[2020-09-11 13:10:45.098109 | Step 160 / 17192]
[2020-09-11 13:10:48.631576 | Step 161 / 17192]
[2020-09-11 13:11:08.953488 | Step 162 / 17192]
[2020-09-11 13:11:12.606278 | Step 163 / 17192]
[2020-09-11 13:11:18.021498 | Step 164 / 17192]
[2020-09-11 13:11:22.223524 | Step 165 / 17192]
[2020-09-11 13:11:25.855748 | Step 166 / 17192]
[2020-09-11 13:11:29.516338 | Step 167 / 17192]
[2020-09-11 13:11:48.647336 | Step 168 / 17192]
[2020-09-11 13:11:52.324712 | Step 169 / 17192]
[2020-09-11 13:11:56.093318 | Step 170 / 17192]
[2020-09-11 13:11:59.663693 | Step 171 / 17192]
[2020-09-11 13:12:03.313998 | Step 172 / 17192]
[2020-09-11 13:12:06.959599 | Step 173 / 17192]
[2020-09-11 13:12:28.838340 | Step 174 / 17192]
[2020-09-11 13:12:32.377525 | Step 175 / 17192]
[2020-09-11 13:12:36.032865 | Step 176 / 17192]
[2020-09-11 13:12:40.235870 | Step 177 / 17192]
[2020-09-11 13:12:43.752199 | Step 178 / 17192]
[2020-09-11 13:12:47.143013 | Step 179 / 17192]
[2020-09-11 13:13:07.328177 | Step 180 / 17192]
[2020-09-11 13:13:10.700501 | Step 181 / 17192]
[2020-09-11 13:13:14.317629 | Step 182 / 17192]
[2020-09-11 13:13:17.907023 | Step 183 / 17192]
[2020-09-11 13:13:21.271673 | Step 184 / 17192]
[2020-09-11 13:13:24.499142 | Step 185 / 17192]
[2020-09-11 13:13:44.464071 | Step 186 / 17192]
[2020-09-11 13:13:47.905101 | Step 187 / 17192]
[2020-09-11 13:13:51.687639 | Step 188 / 17192]
[2020-09-11 13:13:55.039845 | Step 189 / 17192]
[2020-09-11 13:13:58.284515 | Step 190 / 17192]
[2020-09-11 13:14:01.577203 | Step 191 / 17192]
[2020-09-11 13:14:21.197915 | Step 192 / 17192]
[2020-09-11 13:14:24.251286 | Step 193 / 17192]
[2020-09-11 13:14:27.637832 | Step 194 / 17192]
[2020-09-11 13:14:30.856288 | Step 195 / 17192]
[2020-09-11 13:14:34.345062 | Step 196 / 17192]
[2020-09-11 13:14:37.719240 | Step 197 / 17192]
[2020-09-11 13:14:57.999466 | Step 198 / 17192]
[2020-09-11 13:15:00.856691 | Step 199 / 17192]
[2020-09-11 13:15:04.094065 | Step 200 / 17192]
[2020-09-11 13:15:07.266665 | Step 201 / 17192]
[2020-09-11 13:15:10.459676 | Step 202 / 17192]
[2020-09-11 13:15:13.634677 | Step 203 / 17192]
Transform didn't work! It is for this image: /project/yonis/tcga_brca_dx/tiled_data_large/case-7dcf550c-90ce-4f63-aecd-0e46897e2a3e/8E0AE339-1047-4CA5-BFC5-37A3B10FD8B5/jpeg/tile468.jpg
/home/yonis/SimCLR-1/msidata/dataset_tcga_tiles.py:235: UserWarning: The given NumPy array is not writeable, and PyTorch does not support non-writeable tensors. This means you can write to the underlying (supposedly non-writeable) NumPy array using the tensor. You may want to copy the array to protect its data or make it writeable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at  /pytorch/torch/csrc/utils/tensor_numpy.cpp:141.)
  tile= torch.from_numpy(tile).float()
Transform didn't work! It is for this image: /project/yonis/tcga_brca_dx/tiled_data_large/case-7dcf550c-90ce-4f63-aecd-0e46897e2a3e/8E0AE339-1047-4CA5-BFC5-37A3B10FD8B5/jpeg/tile490.jpg
Transform didn't work! It is for this image: /project/yonis/tcga_brca_dx/tiled_data_large/case-7dcf550c-90ce-4f63-aecd-0e46897e2a3e/8E0AE339-1047-4CA5-BFC5-37A3B10FD8B5/jpeg/tile516.jpg
[2020-09-11 13:15:38.319208 | Step 204 / 17192]
[2020-09-11 13:15:41.705142 | Step 205 / 17192]
[2020-09-11 13:15:45.309354 | Step 206 / 17192]
[2020-09-11 13:15:48.870867 | Step 207 / 17192]
[2020-09-11 13:15:52.771926 | Step 208 / 17192]
[2020-09-11 13:15:56.391440 | Step 209 / 17192]
[2020-09-11 13:16:19.623032 | Step 210 / 17192]
[2020-09-11 13:16:23.307761 | Step 211 / 17192]
[2020-09-11 13:16:26.955697 | Step 212 / 17192]
[2020-09-11 13:16:30.584902 | Step 213 / 17192]
[2020-09-11 13:16:34.242294 | Step 214 / 17192]
[2020-09-11 13:16:37.824722 | Step 215 / 17192]
[2020-09-11 13:17:00.183049 | Step 216 / 17192]
[2020-09-11 13:17:03.858599 | Step 217 / 17192]
[2020-09-11 13:17:08.878421 | Step 218 / 17192]
[2020-09-11 13:17:12.494974 | Step 219 / 17192]
[2020-09-11 13:17:16.205567 | Step 220 / 17192]
[2020-09-11 13:17:19.833273 | Step 221 / 17192]
[2020-09-11 13:17:40.265615 | Step 222 / 17192]
[2020-09-11 13:17:43.999863 | Step 223 / 17192]
[2020-09-11 13:17:47.702381 | Step 224 / 17192]
[2020-09-11 13:17:51.368311 | Step 225 / 17192]
[2020-09-11 13:17:54.978057 | Step 226 / 17192]
[2020-09-11 13:17:59.058960 | Step 227 / 17192]
[2020-09-11 13:18:19.148984 | Step 228 / 17192]
[2020-09-11 13:18:22.633802 | Step 229 / 17192]
[2020-09-11 13:18:26.047192 | Step 230 / 17192]
[2020-09-11 13:18:29.531753 | Step 231 / 17192]
[2020-09-11 13:18:32.750106 | Step 232 / 17192]
[2020-09-11 13:18:36.614639 | Step 233 / 17192]
[2020-09-11 13:18:57.960551 | Step 234 / 17192]
[2020-09-11 13:19:01.219531 | Step 235 / 17192]
[2020-09-11 13:19:04.622434 | Step 236 / 17192]
[2020-09-11 13:19:08.392548 | Step 237 / 17192]
[2020-09-11 13:19:12.020564 | Step 238 / 17192]
[2020-09-11 13:19:15.499013 | Step 239 / 17192]
[2020-09-11 13:19:36.682486 | Step 240 / 17192]
[2020-09-11 13:19:39.954390 | Step 241 / 17192]
[2020-09-11 13:19:43.531638 | Step 242 / 17192]
[2020-09-11 13:19:48.067041 | Step 243 / 17192]
[2020-09-11 13:19:51.501750 | Step 244 / 17192]
[2020-09-11 13:19:55.181209 | Step 245 / 17192]
[2020-09-11 13:20:16.356297 | Step 246 / 17192]
[2020-09-11 13:20:19.719881 | Step 247 / 17192]
[2020-09-11 13:20:23.146929 | Step 248 / 17192]
